"year" "month" "Ftemp" "Ctemp"
"545" 1914 2 25.4 -3.7
"546" 1914 3 36.5 2.5
"547" 1914 4 47.9 8.8
"548" 1914 5 64.5 18.1
"549" 1914 6 68.9 20.5
"550" 1914 7 72.1 22.3
"551" 1914 8 74.6 23.7
"552" 1914 9 66.9 19.4
"553" 1915 1 34.5 1.4
"554" 1915 10 57.7 14.3
"555" 1915 11 46.3 7.9
"556" 1915 12 33.5 0.8
"557" 1915 2 35.9 2.2
"558" 1915 3 36.8 2.7
"559" 1915 4 54.4 12.4
"560" 1915 5 59 15
"561" 1915 6 68 20
"562" 1915 7 73.9 23.3
"563" 1915 8 71.6 22
"564" 1915 9 70 21.1
"565" 1916 1 36 2.2
"566" 1916 10 57.7 14.3
"567" 1916 11 45.5 7.5
"568" 1916 12 34 1.1
"569" 1916 2 27.9 -2.3
"570" 1916 3 32.4 0.2
"571" 1916 4 48.4 9.1
"572" 1916 5 61.4 16.3
"573" 1916 6 65.7 18.7
"574" 1916 7 75.4 24.1
"575" 1916 8 74.8 23.8
"576" 1916 9 67.4 19.7
"577" 1917 1 32.9 0.5
"578" 1917 10 53 11.7
"579" 1917 11 41.6 5.3
"580" 1917 12 25 -3.9
"581" 1917 2 28.3 -2.1
"582" 1917 3 39.3 4.1
"583" 1917 4 48.4 9.1
"584" 1917 5 54.3 12.4
"585" 1917 6 70.3 21.3
"586" 1917 7 75.9 24.4
"587" 1917 8 76.2 24.6
"588" 1917 9 63.6 17.6
"589" 1918 1 21.7 -5.7
"590" 1918 10 59 15
"591" 1918 11 46.6 8.1
"592" 1918 12 39.4 4.1
"593" 1918 2 30.4 -0.9
"594" 1918 3 42.1 5.6
"595" 1918 4 50.7 10.4
"596" 1918 5 65.3 18.5
"597" 1918 6 67.8 19.9
"598" 1918 7 74.6 23.7
"599" 1918 8 76.5 24.7
"600" 1918 9 63.9 17.7
"601" 1919 1 35.6 2
"602" 1919 10 59.2 15.1
"603" 1919 11 45.2 7.3
"604" 1919 12 30.2 -1
"605" 1919 2 34.9 1.6
"606" 1919 3 43.3 6.3
"607" 1919 4 50 10
"608" 1919 5 62 16.7
"609" 1919 6 70.9 21.6
"610" 1919 7 75.1 23.9
"611" 1919 8 71.1 21.7
"612" 1919 9 67.6 19.8
"613" 1920 1 23.4 -4.8
"614" 1920 10 61.1 16.2
"615" 1920 11 44.4 6.9
"616" 1920 12 37.3 2.9
"617" 1920 2 28.5 -1.9
"618" 1920 3 39.9 4.4
"619" 1920 4 48.1 8.9
"620" 1920 5 58.8 14.9
"621" 1920 6 69.2 20.7
"622" 1920 7 73.8 23.2
"623" 1920 8 74.3 23.5
"624" 1920 9 68.5 20.3
"625" 1921 1 33.4 0.8
"626" 1921 10 56.3 13.5
"627" 1921 11 44.7 7.1
"628" 1921 12 32.5 0.3
"629" 1921 2 34 1.1
"630" 1921 3 48.4 9.1
